MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1009070015357,15.06,0.06,196.38755,-10.55534,53555.15999,0
1009070015357,15.05,0.06,196.38755,-10.55534,53555.16805,0
1009070015357,15.05,0.06,196.38757,-10.55533,53555.17610,0
1009070015357,15.07,0.06,196.38756,-10.55536,53555.18417,0
1009070015357,15.06,0.06,196.38754,-10.55532,53525.19632,0
1009070015357,15.02,0.06,196.38754,-10.55536,53525.20551,0
1009070015357,15.03,0.06,196.38755,-10.55534,53525.21472,0
1009070015357,15.06,0.06,196.38755,-10.55535,53525.22379,0
1009070015357,15.05,0.06,196.38758,-10.55538,53532.21982,0
1009070015357,15.05,0.06,196.38756,-10.55530,53532.22683,0
1009070015357,15.03,0.06,196.38759,-10.55537,53532.23385,0
1009070015357,15.05,0.06,196.38754,-10.55531,53532.24091,0
1009070015357,15.05,0.06,196.38754,-10.55536,53496.20498,0
1009070015357,15.02,0.06,196.38755,-10.55534,53496.21249,0
1009070015357,15.03,0.06,196.38753,-10.55533,53496.21993,0
1009070015357,15.05,0.06,196.38758,-10.55535,53496.22738,0
1009070015357,15.07,0.06,196.38755,-10.55533,53845.32844,0
1009070015357,15.07,0.06,196.38756,-10.55534,53845.33549,0
1009070015357,15.07,0.06,196.38755,-10.55535,53845.34250,0
1009070015357,15.09,0.06,196.38754,-10.55539,53845.34950,0
1009070015357,15.04,0.06,196.38754,-10.55532,54094.50943,0
1009070015357,15.04,0.06,196.38751,-10.55535,54094.51783,0
1009070015357,15.03,0.06,196.38753,-10.55535,54094.52622,0
1009070015357,15.03,0.06,196.38755,-10.55535,54094.53469,0
1009070015357,15.10,0.06,196.38755,-10.55536,53776.47560,0
1009070015357,15.13,0.06,196.38758,-10.55535,53776.48261,0
1009070015357,15.09,0.06,196.38758,-10.55534,53776.48962,0
1009070015357,15.09,0.06,196.38751,-10.55534,53776.49666,0
1009070015357,15.10,0.06,196.38751,-10.55533,53743.48276,0
1009070015357,15.10,0.06,196.38750,-10.55535,53743.48870,0
1009070015357,15.09,0.06,196.38751,-10.55533,53743.49462,0
1009070015357,15.10,0.06,196.38751,-10.55535,53743.50054,0
1009070015357,15.10,0.06,196.38754,-10.55534,53765.52344,0
1009070015357,15.08,0.06,196.38755,-10.55534,53765.52982,0
1009070015357,15.10,0.06,196.38755,-10.55534,53765.53639,0
1009070015357,15.09,0.06,196.38756,-10.55536,53765.54285,0
1009070015357,15.00,0.09,196.38772,-10.55529,53903.23430,0
1009070015357,15.01,0.09,196.38758,-10.55529,53903.23531,0
1009070015357,14.98,0.09,196.38765,-10.55528,53903.23636,0
1009070015357,14.97,0.09,196.38763,-10.55533,53903.23740,0
1009070015357,15.06,0.06,196.38755,-10.55535,53906.19801,0
1009070015357,15.05,0.06,196.38752,-10.55533,53906.21188,0
1009070015357,15.05,0.09,196.38749,-10.55533,53863.32290,0
1009070015357,15.09,0.09,196.38751,-10.55538,53863.32364,0
1009070015357,15.09,0.09,196.38752,-10.55527,53863.32451,0
1009070015357,15.02,0.09,196.38751,-10.55540,53863.32526,0
1009070015357,15.08,0.06,196.38755,-10.55532,53875.23771,0
1009070015357,15.08,0.06,196.38761,-10.55534,53875.24540,0
1009070015357,15.08,0.06,196.38757,-10.55530,53875.25307,0
1009070015357,15.09,0.06,196.38758,-10.55529,53875.26072,0
1009070015357,15.01,0.06,196.38756,-10.55535,54201.25449,0
1009070015357,15.00,0.06,196.38753,-10.55538,54201.26316,0
1009070015357,15.01,0.06,196.38755,-10.55535,54201.27185,0
1009070015357,14.99,0.06,196.38757,-10.55534,54201.28052,0
